date,open,high,low,close,volume,amount
2026-01-05,9.421,9.499,9.421,9.495,683271028,6465146234.0
2026-01-06,9.536,9.606,9.528,9.577,531345738,5085365304.0
2026-01-07,9.6,9.601,9.511,9.518,616398514,5894333390.0
2026-01-08,9.555,9.559,9.474,9.511,483834991,4604940099.0
2026-01-09,9.544,9.596,9.544,9.592,379190390,3629946415.0
2026-01-12,9.779,9.791,9.736,9.777,493501700,4822414247.0
2026-01-13,9.79,9.825,9.771,9.793,398236725,3901169996.0
2026-01-14,9.871,9.925,9.869,9.922,436952117,4321616075.0
2026-01-15,9.861,9.883,9.82,9.867,554292206,5460435940.0
2026-01-16,9.851,9.874,9.828,9.857,327843149,3228858975.0
2026-01-19,9.962,10.009,9.96,10.006,480621154,4797229646.0
2026-01-20,10.005,10.095,9.983,10.082,533806706,5362959212.0
2026-01-21,10.365,10.501,10.322,10.377,984509622,10230345643.0
2026-01-22,10.29,10.343,10.23,10.341,719685837,7398945407.0
2026-01-23,10.618,10.643,10.585,10.617,729889496,7746553192.0
2026-01-26,10.886,10.955,10.848,10.924,960474483,10463068625.0
2026-01-27,10.883,10.946,10.848,10.934,771107250,8395732861.0
2026-01-28,11.11,11.288,11.109,11.28,1066201004,11961498145.0
2026-01-29,11.918,11.977,11.796,11.904,1497107926,17799095491.0
2026-01-30,11.471,11.533,10.8,11.009,2301609692,25777505557.0
2026-02-02,9.908,10.245,9.908,9.908,1899820420,19145014244.0
2026-02-03,10.355,10.461,10.105,10.422,2100916676,21613177107.0
2026-02-04,10.795,10.904,10.738,10.867,1424298936,15412917353.0
2026-02-05,10.61,10.695,10.3,10.523,1909045495,20057436535.0
2026-02-06,10.079,10.523,10.05,10.357,1841278975,19034272998.0
2026-02-09,10.72,10.75,10.61,10.719,1161222745,12418166669.0
2026-02-10,10.686,10.733,10.661,10.669,702600061,7513073622.0
2026-02-11,10.704,10.765,10.7,10.758,681826714,7317564815.0
2026-02-12,10.72,10.752,10.7,10.72,600479350,6445229523.0
2026-02-13,10.582,10.617,10.508,10.575,769392258,8131354160.0
2026-02-24,10.92,10.998,10.903,10.95,752313723,8241565507.0
