date,open,close,high,low,volume,amount
2024-07-01,109.411,109.014,109.57,108.871,663680.0,7259442529.0
2024-07-02,109.02,109.199,109.212,108.977,1103309.0,12041449778.0
2024-07-03,109.32,109.396,109.41,109.223,1256021.0,13728112143.0
2024-07-04,109.335,109.325,109.395,109.306,1090426.0,11923769596.0
2024-07-05,109.298,109.187,109.298,109.125,1070019.0,11685687698.0
2024-07-08,108.992,108.942,108.992,108.85,1280973.0,13952184242.0
2024-07-09,109.031,109.134,109.143,109.031,1377967.0,15034248229.0
2024-07-10,109.141,109.167,109.19,109.083,1126909.0,12299597557.0
2024-07-11,109.2,109.185,109.2,109.16,1034078.0,11289797361.0
2024-07-12,109.302,109.337,109.377,109.288,1607493.0,17575534477.0
2024-07-15,109.368,109.452,109.472,109.358,1000083.0,10944594451.0
2024-07-16,109.489,109.488,109.543,109.302,889030.0,9734873908.0
2024-07-17,109.579,109.534,109.6,109.498,718040.0,7865967542.0
2024-07-18,109.537,109.454,109.537,109.44,677349.0,7415455666.0
2024-07-19,109.481,109.541,109.555,109.46,641056.0,7019710603.0
2024-07-22,109.65,109.829,109.834,109.65,1019695.0,11189351479.0
2024-07-23,109.906,110.03,110.067,109.906,1181211.0,12989680182.0
2024-07-24,110.054,110.094,110.145,109.99,956882.0,10531185756.0
2024-07-25,110.117,110.107,110.235,110.105,856223.0,9432175677.0
2024-07-26,110.251,110.224,110.319,110.192,976245.0,10764975811.0
2024-07-29,110.302,110.379,110.4,110.274,1015969.0,11210418642.0
2024-07-30,110.492,110.458,110.549,110.4,921777.0,10184938980.0
2024-07-31,110.557,110.482,110.63,110.48,971216.0,10737972701.0
2024-08-01,110.575,110.696,110.72,110.483,824785.0,9123177520.0
2024-08-02,110.82,110.73,110.886,110.622,930826.0,10314307813.0
2024-08-05,110.883,111.045,111.048,110.838,1031933.0,11445665433.0
2024-08-06,110.69,110.701,110.761,110.358,1149391.0,12719656965.0
2024-08-07,110.802,110.968,110.975,110.795,960791.0,10656522029.0
2024-08-08,110.865,110.721,110.9,110.569,954542.0,10569289413.0
2024-08-09,110.398,110.421,110.51,110.321,974202.0,10757286179.0
2024-08-12,110.073,109.864,110.077,109.859,782608.0,8604780063.0
2024-08-13,110.064,110.161,110.246,110.01,880560.0,9702683787.0
2024-08-14,110.38,110.473,110.648,110.199,740822.0,8192101211.0
2024-08-15,110.581,110.145,110.641,110.106,566728.0,6260255503.0
2024-08-16,110.124,110.273,110.414,110.124,847841.0,9355508726.0
2024-08-19,110.414,110.415,110.422,110.292,811835.0,8960166413.0
2024-08-20,110.417,110.4,110.505,110.384,864737.0,9551251994.0
2024-08-21,110.466,110.242,110.48,110.16,490778.0,5412020047.0
2024-08-22,110.46,110.464,110.484,110.392,738704.0,8159188429.0
2024-08-23,110.488,110.49,110.521,110.376,768821.0,8490390469.0
2024-08-26,110.495,110.436,110.514,110.356,530317.0,5858096642.0
2024-08-27,110.342,110.221,110.389,110.169,736666.0,8123533110.0
2024-08-28,110.266,110.319,110.324,110.139,719201.0,7926158064.0
2024-08-29,110.345,110.239,110.395,110.222,615475.0,6787419503.0
2024-08-30,110.293,110.22,110.295,110.122,659207.0,7265098376.0
2024-09-02,110.381,110.471,110.484,110.333,778664.0,8597228218.0
2024-09-03,110.466,110.537,110.569,110.429,673905.0,7448621735.0
2024-09-04,110.616,110.626,110.706,110.596,700295.0,7747523054.0
2024-09-05,110.723,110.723,110.762,110.707,775616.0,8589682695.0
2024-09-06,110.631,110.719,110.736,110.631,723255.0,8006575475.0
2024-09-09,110.729,110.789,110.796,110.67,747981.0,8285242694.0
2024-09-10,110.804,110.85,110.869,110.776,698957.0,7747138520.0
2024-09-11,110.893,111.015,111.04,110.887,725418.0,8049835371.0
2024-09-12,111.055,110.999,111.134,110.997,529807.0,5884227538.0
2024-09-13,111.159,111.234,111.235,111.112,514211.0,5716419342.0
2024-09-18,111.428,111.459,111.465,111.291,646315.0,7199926945.0
2024-09-19,111.616,111.381,111.682,111.339,562796.0,6277469722.0
2024-09-20,111.508,111.533,111.57,111.506,765876.0,8542011904.0
2024-09-23,111.615,111.605,111.649,111.58,630377.0,7035579166.0
2024-09-24,111.81,111.27,111.81,111.036,540154.0,6021029232.0
2024-09-25,111.29,111.616,111.619,111.036,500550.0,5579558626.0
2024-09-26,111.726,111.296,111.773,111.285,636013.0,7095749309.0
2024-09-27,110.92,110.02,110.951,109.801,178511.0,1972288347.0
2024-09-30,109.3,110.024,110.05,107.356,354752.0,3879407214.0
2024-10-08,108.877,110.034,110.22,108.877,445824.0,4904877311.0
2024-10-09,110.101,110.21,110.38,110.019,444935.0,4899625556.0
2024-10-10,110.232,110.617,110.622,110.158,442062.0,4879401225.0
2024-10-11,110.82,110.791,110.886,110.65,447854.0,4962678260.0
2024-10-14,110.826,110.782,110.884,110.763,621111.0,6883372554.0
2024-10-15,110.789,110.893,110.909,110.737,729621.0,8083304555.0
2024-10-16,110.917,110.84,110.951,110.816,708671.0,7856573050.0
2024-10-17,110.841,111.055,111.061,110.793,794024.0,8809796849.0
2024-10-18,111.108,110.993,111.208,110.848,583938.0,6483460468.0
2024-10-21,110.942,110.931,110.998,110.865,515398.0,5717321372.0
2024-10-22,110.961,110.832,110.98,110.815,547615.0,6074121007.0
2024-10-23,110.803,110.663,110.83,110.466,455491.0,5037755357.0
2024-10-24,110.729,110.601,110.795,110.599,552558.0,6117633637.0
2024-10-25,110.605,110.57,110.644,110.502,342024.0,3781816046.0
2024-10-28,110.5,110.489,110.599,110.432,409739.0,4527378657.0
2024-10-29,110.498,110.57,110.57,110.42,483030.0,5338043884.0
2024-10-30,110.624,110.597,110.624,110.544,440089.0,4867496042.0
2024-10-31,110.58,110.581,110.593,110.536,388997.0,4300588588.0
2024-11-01,110.67,110.793,110.799,110.638,442760.0,4903106081.0
2024-11-04,110.805,110.803,110.845,110.742,439588.0,4870825267.0
2024-11-05,110.832,110.843,110.855,110.749,657067.0,7280908047.0
2024-11-06,110.914,110.898,110.977,110.848,450243.0,4993917701.0
2024-11-07,110.912,110.908,110.979,110.866,398709.0,4423254829.0
2024-11-08,110.923,110.998,111.002,110.909,598901.0,6645291168.0
2024-11-11,111.023,111.019,111.098,110.959,376557.0,4181626456.0
2024-11-12,111.12,111.273,111.278,111.119,479809.0,5336449944.0
2024-11-13,111.289,111.278,111.324,111.255,625883.0,6965557223.0
2024-11-14,111.281,111.239,111.281,111.159,575550.0,6401463831.0
2024-11-15,111.27,111.296,111.329,111.25,581128.0,6467419451.0
2024-11-18,111.249,111.103,111.253,111.084,528621.0,5877193576.0
2024-11-19,111.094,111.185,111.218,111.044,348419.0,3873158119.0
2024-11-20,111.224,111.209,111.233,111.186,568501.0,6322269079.0
2024-11-21,111.23,111.33,111.337,111.212,564794.0,6284275891.0
2024-11-22,111.382,111.404,111.445,111.335,456735.0,5086544876.0
2024-11-25,111.387,111.504,111.546,111.35,482213.0,5376203846.0
2024-11-26,111.558,111.627,111.634,111.502,518116.0,5779561886.0
2024-11-27,111.598,111.66,111.695,111.581,450315.0,5027404372.0
2024-11-28,111.64,111.722,111.728,111.62,453552.0,5065134645.0
2024-11-29,111.845,111.889,111.92,111.77,430230.0,4812754906.0
2024-12-02,112.08,112.295,112.3,112.01,569101.0,6385862063.0
2024-12-03,112.295,112.282,112.32,112.215,490451.0,5507431251.0
2024-12-04,112.318,112.551,112.585,112.318,407354.0,4581663502.0
2024-12-05,112.499,112.717,112.747,112.475,463619.0,5221471778.0
2024-12-06,112.69,112.68,112.752,112.627,592551.0,6677745587.0
2024-12-09,112.681,112.7,112.762,112.661,556075.0,6267924343.0
2024-12-10,113.003,113.585,113.626,113.0,338622.0,3840035433.0
2024-12-11,113.418,113.585,113.606,113.316,416454.0,4727185403.0
2024-12-12,113.74,113.766,114.117,113.738,739094.0,8411948004.0
2024-12-13,114.12,114.196,114.233,114.078,628428.0,7175209678.0
2024-12-16,114.341,114.655,114.699,114.341,705557.0,8087335057.0
2024-12-17,114.53,114.448,114.53,114.305,790942.0,9048397555.0
2024-12-18,114.541,114.243,114.689,113.913,356201.0,4072494788.0
2024-12-19,114.37,114.251,114.424,114.19,615158.0,7031301589.0
2024-12-20,114.55,114.678,114.686,114.516,656408.0,7521561774.0
2024-12-23,115.011,114.809,115.06,114.687,364508.0,4186477283.0
2024-12-24,114.747,114.576,114.865,114.555,408196.0,4684432222.0
2024-12-25,114.591,114.506,114.682,114.461,312537.0,3579472444.0
2024-12-26,114.525,114.372,114.641,114.361,563731.0,6452637489.0
2024-12-27,114.666,114.772,114.781,114.527,628089.0,7204381687.0
2024-12-30,114.78,114.745,114.786,114.67,308283.0,3537274219.0
2024-12-31,114.97,115.032,115.08,114.91,374330.0,4305510957.0
2025-01-02,115.26,115.478,115.521,115.185,535213.0,6178894659.0
2025-01-03,115.8,115.551,115.89,115.365,466971.0,5400152246.0
2025-01-06,115.65,115.799,115.8,115.6,364008.0,4212924305.0
2025-01-07,115.782,115.768,115.799,115.654,404594.0,4683344832.0
2025-01-08,115.651,115.733,115.825,115.643,501631.0,5807594245.0
2025-01-09,115.75,115.495,115.758,115.489,385618.0,4457927651.0
2025-01-10,114.944,115.432,115.486,114.91,393329.0,4534883783.0
2025-01-13,115.408,115.315,115.46,115.2,326889.0,3769874441.0
2025-01-14,115.315,115.31,115.335,115.123,353601.0,4073936301.0
2025-01-15,115.53,115.631,115.713,115.466,413654.0,4781404089.0
2025-01-16,115.57,115.544,115.639,115.428,347546.0,4015355923.0
2025-01-17,115.574,115.397,115.623,115.362,404841.0,4675114056.0
2025-01-20,115.281,115.317,115.345,115.217,381801.0,4402025589.0
2025-01-21,115.32,115.496,115.515,115.311,497290.0,5737297949.0
2025-01-22,115.586,115.49,115.655,115.484,462451.0,5345361335.0
2025-01-23,115.471,115.45,115.519,115.364,407272.0,4702139291.0
2025-01-24,115.409,115.288,115.409,115.242,355700.0,4101676749.0
2025-01-27,115.45,115.719,115.796,115.45,237342.0,2745300942.0
2025-02-05,115.713,115.807,115.809,115.581,278021.0,3217105449.0
2025-02-06,115.83,115.949,115.967,115.804,321971.0,3730862894.0
2025-02-07,115.97,115.914,116.05,115.86,403384.0,4676525547.0
2025-02-10,115.896,115.793,115.896,115.78,389213.0,4509068175.0
2025-02-11,115.826,115.846,115.868,115.8,448717.0,5197887432.0
2025-02-12,115.87,115.802,115.876,115.77,372688.0,4316893931.0
2025-02-13,115.84,115.783,115.84,115.748,508046.0,5882797286.0
2025-02-14,115.777,115.626,115.797,115.552,440005.0,5090051391.0
2025-02-17,115.582,115.392,115.582,115.385,423558.0,4890631261.0
2025-02-18,115.351,115.151,115.358,114.961,532525.0,6129788851.0
2025-02-19,115.261,115.25,115.297,115.13,411383.0,4739304017.0
2025-02-20,115.272,115.126,115.316,115.058,476935.0,5493804342.0
2025-02-21,115.03,114.923,115.13,114.837,303759.0,3491537249.0
2025-02-24,114.78,114.36,114.834,114.266,367414.0,4210543441.0
2025-02-25,114.58,114.289,114.622,113.952,540820.0,6177454802.0
2025-02-26,114.5,114.444,114.618,114.439,540784.0,6192616502.0
2025-02-27,114.424,114.223,114.455,114.191,546365.0,6248217911.0
2025-02-28,114.358,114.369,114.395,114.12,361966.0,4134698805.0
2025-03-03,114.376,114.559,114.588,114.266,645366.0,7379125888.0
2025-03-04,114.706,114.539,114.769,114.456,502785.0,5760666428.0
2025-03-05,114.603,114.595,114.69,114.548,533131.0,6110144024.0
2025-03-06,114.556,114.295,114.556,114.277,594772.0,6801117559.0
2025-03-07,114.28,113.818,114.28,113.741,527750.0,6010268490.0
2025-03-10,113.528,113.728,113.922,113.523,636035.0,7239870308.0
2025-03-11,113.588,113.103,113.68,113.074,506932.0,5743038907.0
2025-03-12,113.07,113.344,113.387,112.728,620415.0,7015266112.0
2025-03-13,113.329,113.549,113.609,113.164,568373.0,6451003564.0
2025-03-14,113.37,113.437,113.61,113.156,520247.0,5897712710.0
2025-03-17,113.215,112.938,113.31,112.9,437795.0,4953066132.0
2025-03-18,112.995,112.967,113.098,112.818,622122.0,7030914071.0
2025-03-19,113.163,112.991,113.183,112.984,410326.0,4639021148.0
2025-03-20,113.29,113.495,113.598,113.288,571489.0,6481446872.0
2025-03-21,113.64,113.581,113.657,113.443,560402.0,6362523862.0
2025-03-24,113.458,113.489,113.558,113.325,508408.0,5770160374.0
2025-03-25,113.813,113.739,113.911,113.647,483550.0,5499985711.0
2025-03-26,113.695,113.875,113.882,113.605,418473.0,4759940542.0
2025-03-27,113.873,113.921,113.945,113.764,407752.0,4643262376.0
2025-03-28,113.798,113.743,113.942,113.739,529511.0,6028926828.0
2025-03-31,113.78,113.831,113.906,113.726,646358.0,7358818539.0
2025-04-01,113.99,114.017,114.06,113.929,596955.0,6805654958.0
2025-04-02,114.138,114.411,114.427,114.052,715591.0,8175029149.0
2025-04-03,114.88,115.0,115.027,114.619,783643.0,8999296261.0
2025-04-07,115.668,115.755,115.767,115.37,470120.0,5433178483.0
2025-04-08,115.346,115.296,115.468,115.279,501886.0,5790650111.0
2025-04-09,115.43,115.271,115.489,115.228,608053.0,7012101256.0
