date,open,high,low,close,volume,amount
2026-01-05,4.783,4.848,4.78,4.844,1017132485,4902061805.0
2026-01-06,4.85,4.92,4.848,4.919,1052301545,5141603633.0
2026-01-07,4.92,4.927,4.876,4.901,933402554,4578481053.0
2026-01-08,4.888,4.894,4.843,4.863,682719778,3324674355.0
2026-01-09,4.857,4.903,4.844,4.885,1134855258,5535581862.0
2026-01-12,4.893,4.929,4.861,4.913,1333075333,6529675045.0
2026-01-13,4.922,4.965,4.876,4.896,1271783195,6249488306.0
2026-01-14,4.896,4.949,4.841,4.866,2136722288,10465332592.0
2026-01-15,4.849,4.894,4.843,4.875,5217148860,25390672681.0
2026-01-16,4.905,4.919,4.838,4.859,5320166468,25922582412.0
2026-01-19,4.737,4.769,4.718,4.738,2913439864,13792576409.0
2026-01-20,4.735,4.751,4.688,4.724,2886765633,13613769428.0
2026-01-21,4.709,4.764,4.709,4.73,4903973986,23207895509.0
2026-01-22,4.741,4.76,4.703,4.727,4316344208,20376067887.0
2026-01-23,4.732,4.742,4.687,4.704,6769378109,31834663643.0
2026-01-26,4.712,4.76,4.694,4.712,5939852882,28002364939.0
2026-01-27,4.712,4.742,4.679,4.71,4339135015,20450057577.0
2026-01-28,4.725,4.743,4.704,4.725,8497782253,40100175381.0
2026-01-29,4.724,4.779,4.704,4.768,3545664739,16773879626.0
2026-01-30,4.736,4.758,4.642,4.711,1670274801,7860479504.0
2026-02-02,4.68,4.719,4.591,4.6,2651134391,12299263716.0
2026-02-03,4.64,4.668,4.585,4.664,1052944612,4881749326.0
2026-02-04,4.652,4.709,4.643,4.707,1052505916,4914865553.0
2026-02-05,4.68,4.695,4.645,4.679,933982876,4364498239.0
2026-02-06,4.643,4.691,4.61,4.649,881673740,4106577054.0
2026-02-09,4.695,4.73,4.686,4.727,701119504,3304026961.0
2026-02-10,4.733,4.739,4.72,4.733,680461663,3219183511.0
2026-02-11,4.727,4.732,4.714,4.723,372078690,1757895647.0
2026-02-12,4.729,4.735,4.716,4.727,398012411,1881073591.0
2026-02-13,4.714,4.714,4.667,4.671,1367357151,6405790170.0
2026-02-24,4.725,4.736,4.705,4.716,624245587,2946760847.0
