fast,slow,signal,param_str,avg_return,median_return,std_return,avg_drawdown,max_drawdown_worst,avg_win_rate,avg_sharpe,avg_trades,stocks,score
5,26,7,"(5,26,7)",3.9015999999999997,0.27,14.017768044164521,8.498687499999999,27.97,35.669975,0.059375,4.015,800,0.12715107499999995
10,20,5,"(10,20,5)",4.1686000000000005,0.11,15.207041783003032,9.2388625,29.06,35.525675,0.05800000000000001,4.24,800,0.126920725
10,13,7,"(10,13,7)",4.159475,-0.03,15.606781586040569,9.384725000000001,30.26,36.297487499999995,0.054837500000000004,4.24375,800,0.12546697499999995
7,18,9,"(7,18,9)",4.0835625,-0.02,15.031855189350175,9.1150875,29.83,36.9534125,0.05027499999999998,3.80875,800,0.12537282499999997
9,18,5,"(9,18,5)",4.1842625,0.04,15.3679072243456,9.416437499999999,31.92,35.166075,0.05906249999999998,4.62125,800,0.12532064999999995
6,15,9,"(6,15,9)",4.1753375,0.115,15.513435367000236,9.3915,31.92,35.6736125,0.05655,4.45625,800,0.12531234999999996
9,20,7,"(9,20,7)",4.0956625,-0.14500000000000002,14.933290798115925,9.107175,29.84,37.1889375,0.04472500000000001,3.725,800,0.12406600000000001
7,30,5,"(7,30,5)",3.9135625,-0.025,13.968630352815332,8.4843125,26.67,35.3810625,0.04952499999999997,3.84125,800,0.12313587499999996
7,18,7,"(7,18,7)",4.1251750000000005,-0.16,15.210454339676215,9.303362499999999,31.92,35.642262499999994,0.052450000000000004,4.3425,800,0.12298615
7,26,5,"(7,26,5)",3.8284249999999997,0.35,13.985337009503024,8.56625,27.97,35.7310375,0.055800000000000016,4.095,800,0.12297232500000002
8,15,7,"(8,15,7)",4.1372375,-0.055,15.464184944367219,9.378575,31.92,35.818725,0.05247500000000001,4.3825,800,0.122958825
10,18,5,"(10,18,5)",4.110625,0.0,15.24459917017745,9.3649125,29.85,35.38125,0.05123749999999999,4.4325,800,0.12092712499999998
8,20,7,"(8,20,7)",4.005375,-0.12,14.836436005974447,9.11995,29.83,36.4370375,0.04745000000000001,3.88,800,0.12081582500000002
6,22,7,"(6,22,7)",3.8126875,0.045,14.012473332796882,8.8433625,31.97,36.1278875,0.0564875,4.06625,800,0.12079777500000001
7,15,7,"(7,15,7)",4.145625,0.21,15.652820172715684,9.462825,31.98,35.3338875,0.05022500000000003,4.6475,800,0.12049827500000003
6,13,9,"(6,13,9)",4.1456,0.11499999999999999,15.530012536698095,9.455562500000001,31.98,35.494324999999996,0.048325000000000035,4.67875,800,0.12013102499999996
6,30,5,"(6,30,5)",3.9744874999999995,0.055,14.57829253504483,8.4730375,26.86,34.4657,0.039849999999999976,4.16625,800,0.11937564999999996
6,18,9,"(6,18,9)",3.9785874999999997,-0.075,14.963281387444525,9.1470125,29.83,35.9577,0.04435000000000001,4.05375,800,0.1175429
7,20,7,"(7,20,7)",3.9802875,-0.025,14.912696622084946,9.124375,29.85,35.890187499999996,0.04086249999999999,4.105,800,0.11629024999999998
9,20,5,"(9,20,5)",4.054937499999999,0.0,15.163424538872931,9.317525,31.92,34.88985,0.044725,4.465,800,0.11614257499999996
9,13,7,"(9,13,7)",4.063775,0.075,15.69372212062438,9.44375,31.92,36.1265125,0.041000000000000016,4.42875,800,0.11612877499999996
5,20,9,"(5,20,9)",3.7622875,-0.045,13.97600434288512,8.8692625,31.97,36.109875,0.0482875,4.07625,800,0.11571075
12,15,5,"(12,15,5)",4.0253125,0.02,15.153122628763477,9.4108,29.85,35.3098125,0.0443125,4.41,800,0.114996
8,18,5,"(8,18,5)",4.1395375,0.005,15.483924330126834,9.482725,31.98,34.4434875,0.04130000000000001,4.86125,800,0.11476584999999996
8,20,5,"(8,20,5)",4.047675000000001,0.005,15.152613696797493,9.2996875,31.92,34.6603625,0.0421875,4.65,800,0.11462910000000003
6,26,5,"(6,26,5)",3.863125,0.21000000000000002,14.457780629625523,8.601424999999999,27.97,34.9683875,0.03618750000000001,4.41625,800,0.11429127499999998
12,13,5,"(12,13,5)",4.0281875000000005,0.06,15.424943163261373,9.5522875,31.92,35.3055625,0.04583749999999998,4.6875,800,0.11426887499999999
12,22,5,"(12,22,5)",4.0464625000000005,0.005,15.321100706577637,9.142475,29.07,35.9033125,0.030774999999999993,3.8025,800,0.11408574999999999
5,22,7,"(5,22,7)",3.8120875,0.09,14.294312164890753,8.858812499999999,28.24,35.287425000000006,0.044187499999999984,4.4025,800,0.11402435000000001
8,13,7,"(8,13,7)",4.042949999999999,0.045,15.58294806182386,9.51565,31.98,35.4053,0.03724999999999999,4.6425,800,0.11184259999999997
10,22,5,"(10,22,5)",3.9381500000000007,-0.08499999999999999,14.920372166186072,9.141925,29.06,35.2081125,0.03598750000000001,4.0575,800,0.11153647500000002
5,18,9,"(5,18,9)",3.904975,-0.08499999999999999,14.966630148412667,9.199625000000001,31.92,35.102525,0.03823749999999999,4.4125,800,0.11065304999999996
6,18,7,"(6,18,7)",3.987475,0.0,15.266491259434007,9.353900000000001,31.98,34.6904375,0.036437500000000005,4.6425,800,0.11004112499999998
5,30,5,"(5,30,5)",3.9559,-0.15500000000000003,14.73850908131484,8.465525,27.37,33.475475,0.02084999999999999,4.55875,800,0.1093127
7,18,5,"(7,18,5)",4.0307125,-0.02,15.33935856277386,9.476225,31.98,34.4482375,0.03371249999999999,5.17125,800,0.10854059999999999
5,13,9,"(5,13,9)",3.9969124999999996,-0.08,15.372943076793844,9.513475000000001,31.98,35.055475,0.03156249999999999,5.11,800,0.10750857499999997
6,20,7,"(6,20,7)",3.87055,-0.185,14.91938300324447,9.182337500000001,31.92,35.021837500000004,0.030699999999999998,4.4,800,0.10661680000000004
8,22,5,"(8,22,5)",3.8689375,0.0,14.866093476300147,9.1888625,28.39,34.751687499999996,0.032275,4.425,800,0.10659287499999996
6,15,7,"(6,15,7)",3.9677125,-0.17,15.344011540087674,9.4924625,31.98,34.9450875,0.02799999999999999,4.9975,800,0.10519692499999997
9,22,5,"(9,22,5)",3.866325,-0.06,14.987962277920738,9.1516625,28.61,34.950025000000004,0.022675,4.2075,800,0.103443175
10,15,5,"(10,15,5)",3.954825,0.0,15.45906369963508,9.542612499999999,31.98,34.6958625,0.026774999999999976,4.7425,800,0.10332034999999999
5,15,9,"(5,15,9)",3.9509625,0.005,15.38115563599152,9.476162500000001,31.98,34.4508875,0.026025,4.87125,800,0.10307902499999999
5,18,7,"(5,18,7)",3.8633875,-0.07500000000000001,15.186977008274022,9.35535,31.98,34.3200125,0.022962500000000014,5.06375,800,0.10017314999999999
7,22,5,"(7,22,5)",3.872725,-0.21000000000000002,15.09841120198993,9.216162500000001,28.24,34.1632875,0.019075000000000005,4.7125,800,0.09997669999999997
5,26,5,"(5,26,5)",3.7291,-0.045,14.6713898605415,8.6327,27.47,33.8863125,0.013187499999999996,4.87,800,0.098593625
7,20,5,"(7,20,5)",3.8750999999999998,-0.175,15.137445532189371,9.363325,31.98,34.10997499999999,0.017337499999999995,4.94875,800,0.09777469999999996
10,13,5,"(10,13,5)",3.8525124999999996,-0.13,15.431790630459698,9.595474999999999,31.98,34.4539125,0.01973749999999998,5.03,800,0.09642344999999998
9,13,5,"(9,13,5)",3.8041125,-0.24,15.388451106669045,9.6124125,31.98,34.9330875,0.017324999999999986,5.23875,800,0.09479542499999999
6,18,5,"(6,18,5)",3.9303999999999997,-0.3,15.599376969610036,9.5266,28.98,33.9802375,0.009674999999999994,5.55375,800,0.09447647499999995
9,15,5,"(9,15,5)",3.8564249999999998,-0.045,15.57180750489085,9.558025,31.98,34.2178125,0.008600000000000026,4.97,800,0.09198812499999999
7,13,7,"(7,13,7)",3.803075,-0.18,15.467438380170615,9.5779375,31.98,35.2485375,0.006412500000000021,4.935,800,0.09137495
5,18,5,"(5,18,5)",3.8565750000000003,-0.27,15.659661994097286,9.6037625,32.02,34.5961125,0.004712500000000013,5.97125,800,0.09073684999999998
6,20,5,"(6,20,5)",3.798425,-0.25,15.277530290245704,9.3546625,28.98,33.869299999999996,-0.001349999999999998,5.3125,800,0.087604725
5,20,7,"(5,20,7)",3.7035375,-0.185,14.80089702893354,9.2874625,31.98,34.1254625,0.002649999999999988,4.82375,800,0.08754242499999997
8,15,5,"(8,15,5)",3.7856499999999995,0.01,15.390387684444471,9.560487499999999,31.98,34.4356125,0.0017125000000000013,5.205,800,0.08752084999999997
5,15,7,"(5,15,7)",3.82255,-0.185,15.38037445082206,9.605287500000001,32.01,34.5467375,-0.0010250000000000092,5.4225,800,0.08730709999999998
6,22,5,"(6,22,5)",3.7246500000000005,-0.165,14.924528221270513,9.2243375,28.4,33.689387499999995,0.0009375,5.05375,800,0.08724989999999999
5,13,5,"(5,13,5)",3.6517125,-0.475,15.628444842412945,9.746575,31.07,35.5254125,0.004824999999999999,6.57125,800,0.08506645
6,13,7,"(6,13,7)",3.7849874999999997,-0.15,15.722626903601185,9.6107375,32.11,35.07846249999999,-0.00875000000000001,5.26875,800,0.08409917499999996
6,15,5,"(6,15,5)",3.7177750000000005,-0.08499999999999999,15.528369249517961,9.685425,32.0,34.97425,-0.006437500000000043,5.8175,800,0.08205249999999999
8,13,5,"(8,13,5)",3.6886625,-0.14500000000000002,15.486452542015352,9.6725125,32.05,34.9453125,-0.01018750000000001,5.45875,800,0.079750375
7,13,5,"(7,13,5)",3.6247249999999998,-0.485,15.424995175829878,9.7471625,32.0,35.2933,-0.008337499999999992,5.7475,800,0.07852172499999999
5,20,5,"(5,20,5)",3.6549375000000004,-0.365,15.471531856803765,9.432125000000001,30.74,33.6815375,-0.015637500000000002,5.72875,800,0.07643495
5,13,7,"(5,13,7)",3.6416250000000003,-0.38,15.433075839228389,9.714400000000001,32.0,35.1403,-0.016250000000000035,5.68875,800,0.07588535000000002
5,15,5,"(5,15,5)",3.6100125000000003,-0.405,15.48443910430222,9.673,31.07,34.8476625,-0.014275000000000003,6.30625,800,0.0755557
6,13,5,"(6,13,5)",3.5407250000000006,-0.405,15.52736287089263,9.7824,32.01,35.0899125,-0.012187500000000004,6.1125,800,0.07370257499999999
7,15,5,"(7,15,5)",3.6503999999999994,-0.32499999999999996,15.426678501544007,9.65635,32.01,34.2748625,-0.0241375,5.4975,800,0.07184322499999997
5,22,5,"(5,22,5)",3.4494750000000005,-0.495,15.018867666184924,9.2735125,29.65,33.082,-0.04167500000000001,5.46625,800,0.060243124999999995
