stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,8.87,9.28,40.0443,0.6035,6.8268
2021-06-30,2021-06-30,16.69,16.37,38.4313,0.7964,4.7912
2021-09-30,2021-09-30,21.96,23.01,38.0125,1.118,5.1128
2021-12-31,2021-12-31,28.51,31.63,37.7896,1.5837,5.5785
2022-03-31,2022-03-31,7.25,7.52,37.3572,0.4346,6.0531
2022-06-30,2022-06-30,14.38,14.2,35.779,0.7325,5.1953
2022-09-30,2022-09-30,18.77,19.57,35.3853,1.0081,5.471
2022-12-31,2022-12-31,23.48,25.52,34.8721,1.3387,5.8018
2023-03-31,2023-03-31,6.1,6.29,36.0975,0.372,6.1738
2023-06-30,2023-06-30,11.8,11.41,35.0984,0.5581,4.8096
2023-09-30,2023-09-30,15.75,16.07,34.6751,0.7803,5.0318
2023-12-31,2023-12-31,19.72,20.72,33.9454,1.0147,5.2212
2024-03-31,2024-03-31,6.36,6.54,36.4186,0.3467,5.5216
2024-06-30,2024-06-30,12.32,11.85,36.0613,0.6232,5.1309
2024-09-30,2024-09-30,16.39,16.68,35.984,0.8684,5.3737
2024-12-31,2024-12-31,20.53,21.76,36.1514,1.143,5.6472
2025-03-31,2025-03-31,6.65,6.88,39.2004,0.3969,6.044
2025-06-30,2025-06-30,9.99,12.22,39.2616,0.6716,6.7986
2025-09-30,2025-09-30,13.46,15.46,39.109,0.9108,6.8464
