stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,0.95,0.95,13.9793,0.057,6.6081
2021-06-30,2021-06-30,2.54,2.57,12.6453,0.156,6.6951
2021-09-30,2021-09-30,3.56,3.57,14.5013,0.22,6.6579
2021-12-31,2021-12-31,3.87,3.9,12.5723,0.2709,6.7117
2022-03-31,2022-03-31,0.8,0.8,13.4427,0.0514,6.9486
2022-06-30,2022-06-30,3.68,3.71,12.3357,0.2255,6.8204
2022-09-30,2022-09-30,4.53,4.64,11.5373,0.2818,6.8863
2022-12-31,2022-12-31,4.57,4.65,10.3703,0.3037,6.8874
2023-03-31,2023-03-31,0.79,0.79,12.9927,0.0559,6.9459
2023-06-30,2023-06-30,2.2,2.2,15.6299,0.1485,6.9655
2023-09-30,2023-09-30,2.61,2.63,14.7107,0.1847,7.0042
2023-12-31,2023-12-31,2.49,2.5,11.5802,0.1433,6.928
2024-03-31,2024-03-31,-0.34,-0.34,20.5733,-0.0195,6.9124
2024-06-30,2024-06-30,0.13,0.13,20.1006,0.0163,6.9075
2024-09-30,2024-09-30,-0.23,-0.23,17.8449,-0.0064,6.887
2024-12-31,2024-12-31,0.44,0.44,11.3949,-0.0259,6.8351
2025-03-31,2025-03-31,-0.38,-0.38,15.3906,-0.0238,6.8138
2025-06-30,2025-06-30,-0.48,-0.48,12.0165,-0.018,6.8112
2025-09-30,2025-09-30,0.23,0.23,9.1159,0.0001,6.8321
