stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,0.47,0.47,36.1373,0.0263,5.3075
2021-06-30,2021-06-30,12.0,12.77,38.9117,0.6764,5.9575
2021-09-30,2021-09-30,16.17,17.59,51.8076,0.9588,6.24
2021-12-31,2021-12-31,19.42,21.51,60.3346,1.2008,6.482
2022-03-31,2022-03-31,5.73,5.9,69.648,0.3733,6.8562
2022-06-30,2022-06-30,18.47,20.79,72.6162,1.4501,7.8458
2022-09-30,2022-09-30,15.89,21.44,73.0806,1.6486,12.0272
2022-12-31,2022-12-31,20.06,28.39,69.9616,2.1825,12.514
2023-03-31,2023-03-31,3.21,3.25,63.305,0.3601,12.8337
2023-06-30,2023-06-30,6.72,6.85,58.8594,0.7651,13.0548
2023-09-30,2023-09-30,9.05,9.44,56.3183,1.0606,13.3966
2023-12-31,2023-12-31,11.0,11.64,53.8854,1.3022,13.6014
2024-03-31,2024-03-31,0.72,0.72,40.8146,0.0781,13.6643
2024-06-30,2024-06-30,2.35,2.38,37.6889,0.274,13.8668
2024-09-30,2024-09-30,4.44,4.53,38.1616,0.5331,14.0568
2024-12-31,2024-12-31,7.86,8.15,43.1713,0.9842,14.5137
2025-03-31,2025-03-31,3.18,3.16,48.2045,0.413,13.0737
2025-06-30,2025-06-30,6.81,7.01,51.5519,0.9231,13.5837
2025-09-30,2025-09-30,10.44,10.97,53.8849,1.4733,14.134
