stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,0.76,0.76,24.1768,,
2021-06-30,2021-06-30,6.45,6.66,27.8552,0.2921,4.5559
2021-09-30,2021-09-30,6.09,7.44,26.7446,0.3119,5.1422
2021-12-31,2021-12-31,10.97,13.09,26.6798,0.5942,5.4253
2022-03-31,2022-03-31,1.03,1.03,23.4619,0.0555,5.4808
2022-06-30,2022-06-30,5.66,5.5,27.1511,0.3061,5.4181
2022-09-30,2022-09-30,6.54,6.38,25.2893,0.3571,5.4652
2022-12-31,2022-12-31,11.13,11.5,27.2448,0.6378,5.7374
2023-03-31,2023-03-31,1.13,1.14,24.0264,0.0654,5.8019
2023-06-30,2023-06-30,5.72,5.54,26.9188,0.3261,5.7122
2023-09-30,2023-09-30,6.72,6.55,25.3856,0.3875,5.7713
2023-12-31,2023-12-31,11.29,11.64,26.3718,0.6809,6.0317
2024-03-31,2024-03-31,0.82,0.82,21.3469,0.05,6.0838
2024-06-30,2024-06-30,3.89,3.72,27.2668,0.2293,5.8731
2024-09-30,2024-09-30,3.35,3.19,24.839,0.1968,5.8379
2024-12-31,2024-12-31,7.9,8.05,27.2025,0.4894,6.1815
2025-03-31,2025-03-31,1.16,1.17,22.9506,0.0729,6.2543
2025-06-30,2025-06-30,4.93,4.82,27.4813,0.3051,6.1859
2025-09-30,2025-09-30,4.66,4.49,26.2208,0.2862,6.1409
