stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,1.91,1.93,23.1354,0.1854,9.5982
2021-06-30,2021-06-30,3.9,3.85,20.3178,0.377,9.5607
2021-09-30,2021-09-30,7.45,7.58,21.211,0.7544,9.9369
2021-12-31,2021-12-31,10.98,11.42,20.9948,1.1477,10.2812
2022-03-31,2022-03-31,2.35,2.36,20.189,0.2421,10.4265
2022-06-30,2022-06-30,5.07,5.07,20.5927,0.5366,10.5586
2022-09-30,2022-09-30,10.44,10.58,22.3441,1.1696,11.0408
2022-12-31,2022-12-31,14.53,15.19,23.2504,1.6949,11.558
2023-03-31,2023-03-31,1.75,1.76,22.9544,0.1923,11.6805
2023-06-30,2023-06-30,4.17,4.19,22.9326,0.4708,11.6476
2023-09-30,2023-09-30,9.32,9.41,24.8491,1.0866,11.9215
2023-12-31,2023-12-31,13.01,13.51,25.6274,1.6061,12.4572
2024-03-31,2024-03-31,1.94,1.96,21.5029,0.2411,12.65
2024-06-30,2024-06-30,4.54,4.39,22.9168,0.5418,12.2979
2024-09-30,2024-09-30,9.91,9.89,24.5701,1.2275,12.5645
2024-12-31,2024-12-31,12.27,12.5,24.1421,1.5594,12.6403
2025-03-31,2025-03-31,2.06,2.08,21.4515,0.2449,12.8791
2025-06-30,2025-06-30,4.9,4.71,22.1482,0.5752,12.4193
2025-09-30,2025-09-30,10.26,10.15,24.4408,1.2614,12.7721
