stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,5.96,6.88,22.5807,0.6471,10.8622
2021-06-30,2021-06-30,11.5,12.56,22.175,0.9221,8.043
2021-09-30,2021-09-30,16.42,18.23,20.7688,1.3951,8.5282
2021-12-31,2021-12-31,19.15,21.45,19.6765,1.6763,8.7913
2022-03-31,2022-03-31,5.26,5.42,20.7591,0.4901,9.3762
2022-06-30,2022-06-30,12.15,12.64,17.1093,0.8522,7.0554
2022-09-30,2022-09-30,18.84,20.61,15.5805,1.4439,7.7015
2022-12-31,2022-12-31,23.83,26.95,14.8666,1.9472,8.2112
2023-03-31,2023-03-31,5.53,5.69,17.4014,0.4783,8.6952
2023-06-30,2023-06-30,13.36,13.69,18.5602,1.2067,9.0996
2023-09-30,2023-09-30,16.35,17.37,19.0198,1.5363,9.4724
2023-12-31,2023-12-31,15.25,16.2,17.6871,1.4102,9.3312
2024-03-31,2024-03-31,-3.45,-3.39,8.4415,-0.3112,9.0213
2024-06-30,2024-06-30,-8.14,-7.71,7.2345,-0.6938,8.5669
2024-09-30,2024-09-30,-10.35,-9.72,7.5439,-0.8625,8.3564
2024-12-31,2024-12-31,-14.15,-13.1,7.0318,-1.1451,8.1024
2025-03-31,2025-03-31,-2.42,-2.39,-4.6849,-0.1914,7.9062
2025-06-30,2025-06-30,-4.41,-4.31,-1.2326,-0.3429,7.7538
2025-09-30,2025-09-30,-5.93,-5.76,0.8291,-0.4557,7.6333
