stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,8.07,8.51,29.7418,0.4248,5.2732
2021-06-30,2021-06-30,17.51,18.49,29.5477,0.9738,5.5675
2021-09-30,2021-09-30,24.44,26.05,27.5168,1.47,6.0206
2021-12-31,2021-12-31,24.35,32.18,24.9082,1.7287,7.1043
2022-03-31,2022-03-31,5.35,5.5,27.0626,0.4047,7.565
2022-06-30,2022-06-30,10.32,10.23,23.3823,0.7593,7.3633
2022-09-30,2022-09-30,14.28,14.32,23.3502,1.0706,7.5029
2022-12-31,2022-12-31,15.33,16.3,22.0461,1.2249,7.9887
2023-03-31,2023-03-31,4.56,4.55,30.5965,0.372,8.1607
2023-06-30,2023-06-30,10.33,10.73,27.9383,0.8965,8.6752
2023-09-30,2023-09-30,13.28,14.15,25.6539,1.1951,8.996
2023-12-31,2023-12-31,15.9,17.01,24.5359,1.4541,9.147
2024-03-31,2024-03-31,4.19,4.1,22.0925,0.3829,9.1313
2024-06-30,2024-06-30,9.72,9.88,21.8771,0.9366,9.6401
2024-09-30,2024-09-30,13.49,14.37,21.5313,1.3554,10.0487
2024-12-31,2024-12-31,14.69,15.3,18.3232,1.466,9.9775
2025-03-31,2025-03-31,3.85,4.01,20.2032,0.4085,10.6073
2025-06-30,2025-06-30,6.63,6.67,17.8696,0.6877,10.3764
2025-09-30,2025-09-30,11.92,12.5,19.6706,1.329,11.1483
