stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,1.17,1.18,0.2492,0.1396,10.053
2021-06-30,2021-06-30,3.94,3.99,1.1389,0.4385,10.1982
2021-09-30,2021-09-30,5.64,5.76,1.5722,0.6526,10.4489
2021-12-31,2021-12-31,7.48,7.77,1.5625,0.8945,10.7689
2022-03-31,2022-03-31,-1.9,-1.88,-1.4207,-0.1942,10.5705
2022-06-30,2022-06-30,1.54,1.52,-5.0628,0.2007,10.669
2022-09-30,2022-09-30,1.74,1.74,-6.3574,0.2359,10.7947
2022-12-31,2022-12-31,3.26,3.26,-3.8828,0.477,10.776
2023-03-31,2023-03-31,2.0,2.02,-4.3176,0.2093,11.0765
2023-06-30,2023-06-30,4.28,4.36,-5.222,0.5196,11.3418
2023-09-30,2023-09-30,4.9,5.02,-4.3031,0.5563,11.3422
2023-12-31,2023-12-31,5.25,5.41,-3.5098,0.6439,11.4955
2024-03-31,2024-03-31,3.1,3.16,-11.8675,0.4945,12.1109
2024-06-30,2024-06-30,5.52,5.73,-15.4544,0.8537,13.4962
2024-09-30,2024-09-30,5.86,6.19,-10.9723,0.8715,14.507
2024-12-31,2024-12-31,5.23,5.68,-30.8106,0.8057,15.596
2025-03-31,2025-03-31,1.81,1.85,40.6763,0.2659,14.1797
2025-06-30,2025-06-30,3.88,3.97,24.3005,0.5702,14.2903
2025-09-30,2025-09-30,4.59,4.73,10.3714,0.6822,14.6773
