stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,4.33,4.39,23.1568,0.2041,4.7093
2021-06-30,2021-06-30,5.47,5.53,16.7061,0.2565,4.6904
2021-09-30,2021-09-30,6.72,6.84,15.5612,0.3194,4.7533
2021-12-31,2021-12-31,0.74,0.73,10.837,0.0329,4.4666
2022-03-31,2022-03-31,4.36,4.46,23.8781,0.2036,4.6701
2022-06-30,2022-06-30,4.57,4.67,15.5682,0.2135,4.67
2022-09-30,2022-09-30,11.36,9.24,46.6378,0.65,5.8081
2022-12-31,2022-12-31,8.35,11.48,46.7862,0.653,7.3054
2023-03-31,2023-03-31,1.87,1.89,54.9055,0.1417,7.4715
2023-06-30,2023-06-30,3.38,3.42,50.7435,0.2636,7.5091
2023-09-30,2023-09-30,3.96,4.04,45.834,0.3134,7.5642
2023-12-31,2023-12-31,4.86,4.98,43.3071,0.39,7.5984
2024-03-31,2024-03-31,1.35,1.36,47.6336,0.1103,7.7167
2024-06-30,2024-06-30,2.96,2.97,48.544,0.2446,7.7055
2024-09-30,2024-09-30,4.84,4.92,49.2928,0.4018,7.8714
2024-12-31,2024-12-31,5.28,5.31,45.1191,0.4479,7.8053
2025-03-31,2025-03-31,1.72,1.74,49.0578,0.1423,7.9527
2025-06-30,2025-06-30,3.79,3.83,50.138,0.3157,8.0007
2025-09-30,2025-09-30,6.39,6.52,52.0797,0.5438,8.2148
