stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,3.08,3.264,17.4158,0.1655,6.1564
2021-06-30,2021-06-30,4.47,4.559,14.9806,0.2161,6.0882
2021-09-30,2021-09-30,3.79,2.668,9.2674,0.1872,6.4273
2021-12-31,2021-12-31,-4.03,-3.287,5.875,-0.1916,6.2332
2022-03-31,2022-03-31,2.27,2.341,12.3531,0.1567,6.3846
2022-06-30,2022-06-30,4.87,5.107,11.4765,0.2835,6.414
2022-09-30,2022-09-30,10.43,10.846,12.0941,0.5846,6.4429
2022-12-31,2022-12-31,6.27,6.094,12.2575,0.385,6.1827
2023-03-31,2023-03-31,2.09,2.116,12.1417,0.132,6.3225
2023-06-30,2023-06-30,6.41,6.397,12.9006,0.3305,6.4446
2023-09-30,2023-09-30,11.32,11.803,14.036,0.606,6.668
2023-12-31,2023-12-31,11.5,11.834,13.585,0.6713,6.696
2024-03-31,2024-03-31,3.51,3.594,12.5158,0.1938,6.9706
2024-06-30,2024-06-30,12.29,12.852,13.5447,0.5728,7.1302
2024-09-30,2024-09-30,16.01,17.263,13.7324,0.8118,7.3363
2024-12-31,2024-12-31,17.54,18.598,13.1909,0.9331,7.3653
2025-03-31,2025-03-31,3.13,3.178,12.9578,0.1798,7.5597
2025-06-30,2025-06-30,6.36,6.357,15.1357,0.3876,7.6151
2025-09-30,2025-09-30,11.07,11.496,15.5117,0.6859,7.7423
