stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,-2.16,-2.1,10.3831,-0.0144,0.723
2021-06-30,2021-06-30,-6.18,-5.9,9.5582,-0.0414,0.6964
2021-09-30,2021-09-30,-9.93,-9.33,9.0697,-0.0646,0.6736
2021-12-31,2021-12-31,-87.69,-60.91,6.8412,-0.3335,0.4021
2022-03-31,2022-03-31,0.96,0.92,6.6879,0.004,0.4054
2022-06-30,2022-06-30,1.64,1.58,6.1262,0.007,0.4077
2022-09-30,2022-09-30,-4.71,-4.4,5.9675,-0.0165,0.3837
2022-12-31,2022-12-31,2.63,2.59,6.1753,0.0098,0.3856
2023-03-31,2023-03-31,1.19,1.19,10.4111,0.0046,0.3902
2023-06-30,2023-06-30,4.71,4.83,9.2863,0.019,0.4043
2023-09-30,2023-09-30,5.95,6.12,8.4394,0.0243,0.4095
2023-12-31,2023-12-31,6.51,6.73,8.8198,0.0268,0.4142
2024-03-31,2024-03-31,1.0,1.0,9.81,0.0041,0.4182
2024-06-30,2024-06-30,1.77,1.77,8.2522,0.0073,0.4187
2024-09-30,2024-09-30,3.32,3.33,9.1521,0.0139,0.4219
2024-12-31,2024-12-31,2.87,2.84,8.5716,0.0116,0.4073
2025-03-31,2025-03-31,-9.26,-8.85,3.0632,-0.0338,0.3652
2025-06-30,2025-06-30,-16.28,-15.12,4.6467,-0.0559,0.3432
2025-09-30,2025-09-30,-31.2,-27.0,3.8031,-0.0949,0.3042
