stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,2.78,2.81,,0.4133,14.6916
2021-06-30,2021-06-30,6.51,6.52,,0.9743,14.8203
2021-09-30,2021-09-30,8.65,9.34,,1.4153,16.1127
2021-12-31,2021-12-31,11.04,12.07,,1.857,16.5399
2022-03-31,2022-03-31,2.14,2.26,,0.3656,16.7831
2022-06-30,2022-06-30,4.61,4.64,,0.7834,16.699
2022-09-30,2022-09-30,6.66,6.8,,1.1605,17.1257
2022-12-31,2022-12-31,8.42,8.67,,1.4958,17.4334
2023-03-31,2023-03-31,2.1,2.07,,0.3799,17.759
2023-06-30,2023-06-30,4.38,4.27,,0.7929,17.736
2023-09-30,2023-09-30,6.25,6.19,,1.1517,18.06
2023-12-31,2023-12-31,7.34,7.81,,1.3859,18.5013
2024-03-31,2024-03-31,1.77,1.88,,0.3483,19.2911
2024-06-30,2024-06-30,3.78,3.96,,0.741,19.1952
2024-09-30,2024-09-30,5.86,6.3,,1.1775,19.6998
2024-12-31,2024-12-31,7.4,8.09,,1.5242,20.159
2025-03-31,2025-03-31,2.16,2.37,,0.4562,20.7644
2025-06-30,2025-06-30,4.49,4.91,,0.9545,20.9793
2025-09-30,2025-09-30,7.35,8.15,,1.6137,21.6451
