stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,2.72,2.72,,0.5221,19.2012
2021-06-30,2021-06-30,5.06,5.17,,0.9061,19.437
2021-09-30,2021-09-30,7.49,8.86,,1.5013,20.0381
2021-12-31,2021-12-31,10.29,10.85,,1.8724,20.3777
2022-03-31,2022-03-31,3.16,3.27,,0.6622,20.9305
2022-06-30,2022-06-30,5.86,5.97,,1.1382,21.2357
2022-09-30,2022-09-30,8.62,10.15,,1.8891,21.9203
2022-12-31,2022-12-31,10.47,12.36,,2.3455,22.3994
2023-03-31,2023-03-31,3.27,3.39,,0.7525,23.0211
2023-06-30,2023-06-30,5.62,6.22,,1.3082,23.2956
2023-09-30,2023-09-30,8.51,9.88,,2.0424,24.0061
2023-12-31,2023-12-31,9.84,11.38,,2.3939,24.3394
2024-03-31,2024-03-31,3.08,3.15,,0.7695,25.0221
2024-06-30,2024-06-30,5.37,5.79,,1.3336,24.831
2024-09-30,2024-09-30,8.1,9.1,,2.0473,25.2742
2024-12-31,2024-12-31,8.99,10.08,,2.2935,25.4995
2025-03-31,2025-03-31,2.79,2.8,,0.7264,26.0803
2025-06-30,2025-06-30,4.88,5.25,,1.2816,26.2838
2025-09-30,2025-09-30,7.4,8.28,,1.9756,26.6893
