stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,9.81,9.35,62.6987,2.5204,25.1291
2021-06-30,2021-06-30,14.85,14.3,61.1243,3.5663,23.3779
2021-09-30,2021-09-30,18.63,19.03,61.0656,4.6812,24.4886
2021-12-31,2021-12-31,23.6,25.3,60.5666,6.3137,26.1211
2022-03-31,2022-03-31,9.85,10.36,64.2615,2.9294,29.0463
2022-06-30,2022-06-30,14.74,14.43,62.8872,4.0833,27.1759
2022-09-30,2022-09-30,18.63,19.25,61.9154,5.3998,28.2584
2022-12-31,2022-12-31,23.41,25.28,60.8926,7.2059,30.0608
2023-03-31,2023-03-31,9.91,10.43,64.0761,3.3766,33.4381
2023-06-30,2023-06-30,14.64,14.19,62.5026,4.5838,30.8622
2023-09-30,2023-09-30,18.69,19.2,61.4209,6.1402,32.1104
2023-12-31,2023-12-31,23.32,25.06,60.7445,8.1205,34.0965
2024-03-31,2024-03-31,9.78,10.28,64.4803,3.7705,37.867
2024-06-30,2024-06-30,14.6,13.7,63.2049,5.1078,34.5343
2024-09-30,2024-09-30,18.28,18.33,62.7274,6.6831,35.8366
2024-12-31,2024-12-31,23.9,23.35,62.4309,8.5515,35.1387
2025-03-31,2025-03-31,10.03,10.56,63.1102,3.9592,39.0979
2025-06-30,2025-06-30,13.88,13.63,61.9488,5.1873,37.1318
2025-09-30,2025-09-30,15.1,15.37,59.9673,5.7223,37.6649
