stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,1.96,2.23,7.1664,0.4154,23.3892
2021-06-30,2021-06-30,4.79,5.63,8.1126,1.0382,23.9873
2021-09-30,2021-09-30,6.83,8.09,8.2599,1.5296,24.6155
2021-12-31,2021-12-31,9.19,11.1,9.2411,2.1588,25.5158
2022-03-31,2022-03-31,2.05,2.37,7.0544,0.4743,26.0355
2022-06-30,2022-06-30,4.8,5.71,8.3539,1.1712,26.8195
2022-09-30,2022-09-30,6.63,7.8,8.4225,1.6379,27.2062
2022-12-31,2022-12-31,9.17,11.05,9.7045,2.3383,28.4263
2023-03-31,2023-03-31,2.0,2.27,7.5,0.5079,28.7317
2023-06-30,2023-06-30,4.51,5.23,8.6268,1.2144,29.4948
2023-09-30,2023-09-30,6.31,7.35,8.8864,1.7234,30.2298
2023-12-31,2023-12-31,8.42,9.8,10.0188,2.3807,30.7168
2024-03-31,2024-03-31,1.91,2.14,7.5026,0.5223,30.742
2024-06-30,2024-06-30,3.76,4.19,8.8164,1.1015,30.4912
2024-09-30,2024-09-30,4.88,5.56,8.859,1.4699,30.885
2024-12-31,2024-12-31,6.77,7.69,9.9272,1.9941,31.1201
2025-03-31,2025-03-31,1.54,1.72,7.1896,0.4493,31.488
2025-06-30,2025-06-30,3.14,3.55,8.5421,0.9251,31.7087
2025-09-30,2025-09-30,4.34,4.84,8.4377,1.2687,31.7413
