stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,11.31,12.0,36.2708,1.7439,15.1698
2021-06-30,2021-06-30,20.91,21.77,35.5276,3.3316,15.5172
2021-09-30,2021-09-30,29.5,33.1,33.6392,5.7173,17.3549
2021-12-31,2021-12-31,32.59,37.33,30.962,6.3328,17.8191
2022-03-31,2022-03-31,7.99,8.31,31.0939,1.4938,18.9148
2022-06-30,2022-06-30,12.63,12.55,31.3296,2.3121,18.5531
2022-09-30,2022-09-30,9.61,14.11,28.8395,2.6687,25.8533
2022-12-31,2022-12-31,10.36,13.95,26.1529,2.9911,26.1629
2023-03-31,2023-03-31,4.55,4.64,26.2954,1.1919,27.2049
2023-06-30,2023-06-30,7.53,7.61,28.0456,1.9792,27.6068
2023-09-30,2023-09-30,9.9,10.23,29.2748,2.6213,28.202
2023-12-31,2023-12-31,12.47,13.12,29.3847,3.5122,28.6059
2024-03-31,2024-03-31,4.11,4.19,30.8401,1.1771,29.7864
2024-06-30,2024-06-30,6.1,5.97,31.2315,1.7628,28.7727
2024-09-30,2024-09-30,7.23,7.23,30.8709,2.0838,28.981
2024-12-31,2024-12-31,7.74,7.88,29.7852,2.3503,29.4599
2025-03-31,2025-03-31,3.4,3.46,30.4275,0.9937,30.4129
2025-06-30,2025-06-30,4.71,4.65,30.3692,1.4048,29.5099
2025-09-30,2025-09-30,5.48,5.5,30.216,1.6742,29.8004
