stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,1.75,1.77,61.9149,0.0491,3.0104
2021-06-30,2021-06-30,4.94,4.99,62.3474,0.1445,3.0532
2021-09-30,2021-09-30,5.61,5.72,57.1492,0.1639,3.0682
2021-12-31,2021-12-31,4.12,4.22,49.1958,0.1157,3.0425
2022-03-31,2022-03-31,-0.51,-0.51,35.4014,-0.0176,3.0316
2022-06-30,2022-06-30,-0.39,-0.38,22.4744,-0.0174,2.978
2022-09-30,2022-09-30,0.99,0.99,53.3145,0.0214,3.037
2022-12-31,2022-12-31,0.13,0.13,44.1274,-0.0066,2.9956
2023-03-31,2023-03-31,0.79,0.79,47.6443,0.0223,3.0238
2023-06-30,2023-06-30,3.91,3.94,61.81,0.1153,3.0725
2023-09-30,2023-09-30,9.54,9.95,70.28,0.3078,3.2714
2023-12-31,2023-12-31,-1.52,-1.49,64.7682,-0.0414,2.8766
2024-03-31,2024-03-31,3.35,3.41,67.1711,0.0974,2.9799
2024-06-30,2024-06-30,7.27,7.3,67.5589,0.2139,2.9964
2024-09-30,2024-09-30,12.52,13.11,70.3582,0.3968,3.1891
2024-12-31,2024-12-31,12.93,13.67,65.9523,0.4099,3.2072
2025-03-31,2025-03-31,2.94,2.99,66.1211,0.0965,3.3057
2025-06-30,2025-06-30,4.99,4.8,63.7472,0.1568,3.1616
2025-09-30,2025-09-30,9.0,9.06,66.5616,0.3023,3.3137
