stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,-0.36,-0.36,7.6374,-0.0079,2.3631
2021-06-30,2021-06-30,-1.24,-1.21,6.9027,-0.0277,2.27
2021-09-30,2021-09-30,-0.68,-0.67,6.8503,-0.0167,2.2801
2021-12-31,2021-12-31,1.57,1.57,3.9218,0.0314,2.3231
2022-03-31,2022-03-31,-0.3,-0.3,5.0479,-0.0074,2.3149
2022-06-30,2022-06-30,-0.75,-0.74,4.911,-0.0183,2.3012
2022-09-30,2022-09-30,-1.39,-1.39,2.5302,-0.0326,2.2937
2022-12-31,2022-12-31,0.71,0.71,1.9949,0.009,2.3185
2023-03-31,2023-03-31,-0.57,-0.57,3.7272,-0.0163,2.9818
2023-06-30,2023-06-30,-2.86,-2.8322,2.4656,-0.0786,2.6874
2023-09-30,2023-09-30,-5.93,-5.75,2.0574,-0.1456,2.5668
2023-12-31,2023-12-31,3.02,3.11,1.8423,0.026,2.7187
2024-03-31,2024-03-31,-1.69,-1.6636,3.7462,-0.0529,2.6369
2024-06-30,2024-06-30,-3.18,-3.1,2.7901,-0.0941,2.5626
2024-09-30,2024-09-30,-4.96,-4.8219,2.6735,-0.1399,2.555
2024-12-31,2024-12-31,1.05,1.05,3.0515,-0.02,2.6402
2025-03-31,2025-03-31,-1.11,-1.11,4.235,-0.0285,2.6282
2025-06-30,2025-06-30,-1.81,-1.79,3.1257,-0.0603,2.63
2025-09-30,2025-09-30,-2.74,-2.79,2.4581,-0.101,2.6695
