stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,2.37,2.4,5.4121,0.0087,0.3688
2021-06-30,2021-06-30,4.97,5.34,6.2292,0.0194,0.3907
2021-09-30,2021-09-30,4.3,4.65,5.9697,0.0169,0.3925
2021-12-31,2021-12-31,2.62,2.64,6.866,0.0095,0.3614
2022-03-31,2022-03-31,0.96,1.0,7.1679,0.0036,0.3746
2022-06-30,2022-06-30,2.7,2.88,6.9351,0.0105,0.3907
2022-09-30,2022-09-30,3.62,3.95,6.664,0.0146,0.4017
2022-12-31,2022-12-31,6.24,6.54,7.4257,0.0244,0.3912
2023-03-31,2023-03-31,1.87,1.9,6.7879,0.0076,0.4092
2023-06-30,2023-06-30,4.03,4.29,6.9946,0.0172,0.4256
2023-09-30,2023-09-30,5.36,5.8,6.7183,0.0234,0.4356
2023-12-31,2023-12-31,7.34,7.63,6.8311,0.031,0.4226
2024-03-31,2024-03-31,2.12,2.2,7.4647,0.0093,0.4419
2024-06-30,2024-06-30,5.18,5.48,7.5979,0.0238,0.4595
2024-09-30,2024-09-30,7.49,8.09,7.5203,0.0356,0.4754
2024-12-31,2024-12-31,7.3,7.58,7.4084,0.0333,0.4557
2025-03-31,2025-03-31,2.42,2.5,7.5397,0.0115,0.476
2025-06-30,2025-06-30,5.29,5.53,7.9538,0.026,0.4908
2025-09-30,2025-09-30,7.01,7.46,7.9649,0.0353,0.5036
