stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-12-31,2021-12-31,48.49,63.47,89.299,,
2022-06-30,2022-06-30,8.7,8.44,95.6958,1.3898,16.3258
2022-09-30,2022-09-30,12.75,,100.0,2.1267,17.0627
2022-12-31,2022-12-31,24.12,25.64,92.7622,4.6543,19.5903
2023-03-31,2023-03-31,,,95.2658,0.5727,
2023-06-30,2023-06-30,6.17,6.37,94.5652,1.2677,20.858
2023-09-30,2023-09-30,9.59,,100.0,2.0299,21.6202
2023-12-31,2023-12-31,20.98,23.44,94.629,5.139,24.7293
2024-03-31,2024-03-31,3.79,3.87,95.9054,0.9537,25.6831
2024-06-30,2024-06-30,3.34,7.05,95.9686,1.3247,40.6044
2024-09-30,2024-09-30,5.67,8.62,85.2274,2.2484,40.4281
2024-12-31,2024-12-31,11.18,15.34,88.3551,4.7335,42.9306
2025-03-31,2025-03-31,2.94,2.99,95.6983,1.2721,44.2027
2025-06-30,2025-06-30,5.95,6.13,94.9128,1.7872,30.5997
2025-09-30,2025-09-30,9.42,9.69,94.8439,2.8839,31.0964
