stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,0.85,,8.3728,,
2021-06-30,2021-06-30,1.2,1.21,6.9029,,
2021-09-30,2021-09-30,1.85,1.97,7.3511,0.0748,4.0365
2021-12-31,2021-12-31,2.17,2.31,6.465,0.0879,4.0463
2022-03-31,2022-03-31,0.64,0.64,7.755,0.0259,4.0759
2022-06-30,2022-06-30,1.71,1.72,9.3539,0.0701,4.0989
2022-09-30,2022-09-30,2.63,2.66,9.3705,0.109,4.1414
2022-12-31,2022-12-31,2.27,2.29,6.2608,0.0935,4.1229
2023-03-31,2023-03-31,0.75,0.75,7.173,0.0311,4.1511
2023-06-30,2023-06-30,1.82,1.83,8.9139,0.0756,4.1534
2023-09-30,2023-09-30,3.15,3.18,9.8394,0.1325,4.205
2023-12-31,2023-12-31,3.36,3.39,8.1375,0.1411,4.2029
2024-03-31,2024-03-31,1.4,1.41,12.3297,0.0598,4.2582
2024-06-30,2024-06-30,2.4,2.41,11.4911,0.1017,4.2408
2024-09-30,2024-09-30,3.02,3.04,9.8764,0.1289,4.2673
2024-12-31,2024-12-31,3.5,3.54,8.2699,0.15,4.283
2025-03-31,2025-03-31,0.89,0.9,9.8007,0.0386,4.3242
2025-06-30,2025-06-30,1.77,1.77,9.1314,0.076,4.3029
2025-09-30,2025-09-30,2.47,2.47,8.4092,0.1064,4.3145
