stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,8.88,9.29,57.2065,0.642,7.2322
2021-06-30,2021-06-30,14.77,14.94,56.5111,1.0639,7.2041
2021-09-30,2021-09-30,18.07,18.63,55.7515,1.3541,7.4942
2021-12-31,2021-12-31,21.83,22.64,57.3597,1.6175,7.411
2022-03-31,2022-03-31,9.73,10.51,58.3749,0.799,8.21
2022-06-30,2022-06-30,15.89,16.21,58.4953,1.2897,8.1143
2022-09-30,2022-09-30,19.56,20.79,58.1529,1.6591,8.4837
2022-12-31,2022-12-31,22.62,24.73,60.3927,1.995,8.82
2023-03-31,2023-03-31,10.19,10.73,60.4232,1.0004,9.8205
2023-06-30,2023-06-30,16.8,16.96,61.4093,1.634,9.7286
2023-09-30,2023-09-30,20.6,21.81,61.1047,2.1009,10.2006
2023-12-31,2023-12-31,23.6,25.92,63.5126,2.4998,10.5913
2024-03-31,2024-03-31,10.34,10.91,58.7016,1.2217,11.815
2024-06-30,2024-06-30,16.97,16.95,60.2717,1.9621,11.5622
2024-09-30,2024-09-30,20.39,21.4,59.1805,2.4598,12.0613
2024-12-31,2024-12-31,22.08,23.74,60.1448,2.7197,12.3186
2025-03-31,2025-03-31,9.62,10.1,57.234,1.3186,13.7136
2025-06-30,2025-06-30,13.77,13.45,58.6959,1.7875,12.9831
2025-09-30,2025-09-30,15.44,15.7,57.733,2.0445,13.2404
