stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,1.36,1.37,29.2591,0.0892,5.5478
2021-06-30,2021-06-30,4.51,4.46,30.196,0.2592,5.5756
2021-09-30,2021-09-30,6.13,6.18,27.7188,0.3489,5.6714
2021-12-31,2021-12-31,8.53,8.76,28.313,0.4757,5.7076
2022-03-31,2022-03-31,2.16,2.18,29.2971,0.1427,5.8235
2022-06-30,2022-06-30,5.86,5.83,30.9097,0.3698,5.8222
2022-09-30,2022-09-30,8.01,8.06,30.0983,0.5041,5.9579
2022-12-31,2022-12-31,9.58,9.91,28.6222,0.6121,6.0513
2023-03-31,2023-03-31,2.97,3.02,30.4893,0.1973,6.2181
2023-06-30,2023-06-30,6.3,6.419,31.5696,0.433,6.7706
2023-09-30,2023-09-30,8.72,9.12,31.2289,0.6218,6.9091
2023-12-31,2023-12-31,10.28,10.92,29.5358,0.768,7.0212
2024-03-31,2024-03-31,2.92,2.97,29.4282,0.2211,7.2099
2024-06-30,2024-06-30,6.56,6.618,31.6588,0.4845,7.117
2024-09-30,2024-09-30,9.06,9.19,31.1929,0.6817,7.3058
2024-12-31,2024-12-31,10.73,11.12,29.1961,0.8327,7.4389
2025-03-31,2025-03-31,5.55,5.71,25.396,0.5725,7.8372
2025-06-30,2025-06-30,8.24,8.231,26.2089,0.7582,7.6359
2025-09-30,2025-09-30,9.17,9.29,26.021,0.8518,7.7354
