stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,6.14,6.13,39.0188,0.5284,8.7716
2021-06-30,2021-06-30,12.14,11.49,38.7245,0.8306,7.0955
2021-09-30,2021-09-30,14.86,14.57,37.8662,1.0487,7.4338
2021-12-31,2021-12-31,14.44,14.61,37.7429,1.017,7.5048
2022-03-31,2022-03-31,6.56,6.82,41.1698,0.4849,8.1053
2022-06-30,2022-06-30,12.29,12.37,39.1703,0.751,6.6961
2022-09-30,2022-09-30,15.3,15.86,38.4075,0.9747,6.9974
2022-12-31,2022-12-31,16.67,17.87,37.4212,1.1371,7.2321
2023-03-31,2023-03-31,7.4,7.69,37.8255,0.5524,7.9908
2023-06-30,2023-06-30,13.96,13.95,37.1043,0.8376,6.7046
2023-09-30,2023-09-30,17.19,18.09,36.7122,1.0735,6.9109
2023-12-31,2023-12-31,17.09,18.01,35.5163,1.0806,6.9656
2024-03-31,2024-03-31,5.46,5.66,35.1118,0.3984,7.427
2024-06-30,2024-06-30,9.25,9.24,34.5101,0.6156,7.3515
2024-09-30,2024-09-30,12.49,12.09,34.2778,0.8026,7.1345
2024-12-31,2024-12-31,13.26,13.17,33.8785,0.8605,7.1461
2025-03-31,2025-03-31,6.25,6.45,34.6154,0.437,7.5789
2025-06-30,2025-06-30,10.89,11.03,34.4728,0.7526,7.5638
2025-09-30,2025-09-30,14.95,14.85,34.3994,1.0182,7.4553
