stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,0.85,0.86,28.2312,0.037,4.3863
2021-06-30,2021-06-30,3.54,3.37,30.8068,0.1374,3.9841
2021-09-30,2021-09-30,6.01,5.8,31.1992,0.2352,4.0765
2021-12-31,2021-12-31,7.35,7.15,31.9103,0.2931,4.1385
2022-03-31,2022-03-31,0.23,0.23,26.5737,0.0104,4.1491
2022-06-30,2022-06-30,2.25,2.28,29.9419,0.0942,4.2483
2022-09-30,2022-09-30,3.06,3.11,28.0288,0.1281,4.2747
2022-12-31,2022-12-31,5.36,5.53,24.802,0.2453,4.4111
2023-03-31,2023-03-31,1.29,1.32,16.9178,0.0563,4.5358
2023-06-30,2023-06-30,1.63,1.71,17.4569,0.0703,4.5626
2023-09-30,2023-09-30,2.22,2.32,16.5042,0.0982,4.576
2023-12-31,2023-12-31,2.44,2.48,17.842,0.1046,4.5808
2024-03-31,2024-03-31,0.99,1.0,24.0498,0.0434,4.6212
2024-06-30,2024-06-30,1.0,1.0,20.9567,0.0424,4.6163
2024-09-30,2024-09-30,1.5,1.5,16.1932,0.0602,4.5732
2024-12-31,2024-12-31,1.15,1.1,12.3494,0.0351,4.3453
2025-03-31,2025-03-31,0.04,0.04,11.7789,0.0004,4.3441
2025-06-30,2025-06-30,0.34,0.34,9.7148,0.0103,4.3523
2025-09-30,2025-09-30,0.7,0.6975,8.7826,0.0227,4.3454
