stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,2.7,2.73,34.1415,0.2979,11.5209
2021-06-30,2021-06-30,6.03,6.21,35.6878,0.689,11.963
2021-09-30,2021-09-30,10.66,11.18,35.9481,1.2638,12.4674
2021-12-31,2021-12-31,16.4,17.31,35.3971,2.0399,12.9635
2022-03-31,2022-03-31,2.44,2.46,32.4203,0.2984,13.0258
2022-06-30,2022-06-30,5.76,5.69,34.3395,0.5029,9.1535
2022-09-30,2022-09-30,9.24,9.28,35.824,0.7927,8.8502
2022-12-31,2022-12-31,13.03,13.28,36.0586,1.1352,9.101
2023-03-31,2023-03-31,3.17,3.24,35.1675,0.2939,9.4647
2023-06-30,2023-06-30,6.81,7.09,35.6289,0.6582,10.3313
2023-09-30,2023-09-30,9.57,10.13,35.2675,0.635,7.1229
2023-12-31,2023-12-31,12.75,13.91,35.0298,0.8853,7.4091
2024-03-31,2024-03-31,1.82,1.83,31.5455,0.1208,7.4729
2024-06-30,2024-06-30,8.56,8.54,32.3319,0.6059,7.6489
2024-09-30,2024-09-30,10.62,10.9,32.9059,0.766,7.8472
2024-12-31,2024-12-31,13.17,13.7,33.3456,0.9642,8.0003
2025-03-31,2025-03-31,2.18,2.21,32.9054,0.1573,8.2365
2025-06-30,2025-06-30,4.92,4.97,33.1122,0.367,8.3619
2025-09-30,2025-09-30,7.81,8.05,33.1195,0.5994,8.5379
