stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,,,60.3382,,
2021-06-30,2021-06-30,22.69,25.59,56.2936,1.7768,7.8322
2021-09-30,2021-09-30,30.82,,100.0,2.6972,8.7527
2021-12-31,2021-12-31,43.51,55.6,57.5511,4.6634,10.7189
2022-03-31,2022-03-31,1.67,10.48,58.2844,0.8894,53.3015
2022-06-30,2022-06-30,3.45,5.97,57.4619,1.3287,38.5159
2022-09-30,2022-09-30,5.44,7.68,57.8177,2.1405,39.3278
2022-12-31,2022-12-31,8.76,11.46,60.0406,3.572,41.3764
2023-03-31,2023-03-31,2.27,2.3,58.3097,0.9369,42.3133
2023-06-30,2023-06-30,4.64,4.72,56.7945,1.3018,28.8295
2023-09-30,2023-09-30,6.69,6.89,57.7644,1.9045,30.2194
2023-12-31,2023-12-31,7.97,8.39,56.7553,1.8654,30.9856
2024-03-31,2024-03-31,2.65,2.69,57.5094,0.7851,31.7834
2024-06-30,2024-06-30,4.93,5.01,55.3276,1.0492,22.9572
2024-09-30,2024-09-30,6.93,7.13,53.8747,1.4989,23.4715
2024-12-31,2024-12-31,9.05,9.44,49.9287,2.0169,24.0048
2025-03-31,2025-03-31,1.36,1.37,39.7267,0.2881,24.1913
2025-06-30,2025-06-30,3.17,3.16,46.4792,0.4942,17.8275
2025-09-30,2025-09-30,5.22,5.25,46.8301,0.7947,18.0575
