stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,1.14,1.15,29.8982,0.0473,4.8586
2021-06-30,2021-06-30,5.32,5.39,32.2174,0.2154,5.0824
2021-09-30,2021-09-30,7.26,7.21,28.4173,0.2954,5.1678
2021-12-31,2021-12-31,8.35,8.6,29.5531,0.3545,5.2075
2022-03-31,2022-03-31,1.16,1.16,30.898,0.0578,5.2271
2022-06-30,2022-06-30,3.2,3.16,33.585,0.1662,5.1717
2022-09-30,2022-09-30,10.82,11.89,34.1886,0.6038,5.7067
2022-12-31,2022-12-31,11.54,11.45,31.2489,0.5959,5.2446
2023-03-31,2023-03-31,1.12,1.16,32.0577,0.0586,5.4911
2023-06-30,2023-06-30,2.65,2.66,33.4916,0.1428,5.4204
2023-09-30,2023-09-30,4.4,4.46,32.9163,0.2312,5.4848
2023-12-31,2023-12-31,5.52,5.62,30.9503,0.2842,5.2278
2024-03-31,2024-03-31,1.23,1.24,32.6195,0.0651,5.2846
2024-06-30,2024-06-30,3.13,3.12,34.0057,0.1681,5.283
2024-09-30,2024-09-30,10.33,10.9,34.1634,0.5032,5.4568
2024-12-31,2024-12-31,11.46,11.77,33.468,0.5646,5.3354
2025-03-31,2025-03-31,1.34,1.31,33.2273,0.0726,5.2119
2025-06-30,2025-06-30,3.06,3.07,35.4666,0.1706,5.313
2025-09-30,2025-09-30,4.5,4.65,34.8521,0.2599,5.5255
