stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,1.95,1.96,37.2451,0.0924,4.8037
2021-06-30,2021-06-30,5.61,5.65,42.5049,0.2702,4.8578
2021-09-30,2021-09-30,8.0,8.21,43.3913,0.3947,4.9789
2021-12-31,2021-12-31,7.93,8.18,40.672,0.3876,4.9575
2022-03-31,2022-03-31,1.73,1.74,43.1775,0.0866,5.0473
2022-06-30,2022-06-30,4.97,5.1,43.0466,0.2586,5.2186
2022-09-30,2022-09-30,5.39,6.93,39.3733,0.3008,5.5294
2022-12-31,2022-12-31,6.35,7.72,31.8519,0.3575,5.5863
2023-03-31,2023-03-31,1.75,1.76,39.2172,0.0996,5.6933
2023-06-30,2023-06-30,4.04,4.05,39.4056,0.23,5.696
2023-09-30,2023-09-30,6.35,6.49,39.6115,0.3711,5.8455
2023-12-31,2023-12-31,6.88,7.07,33.4106,0.404,5.8829
2024-03-31,2024-03-31,1.5,1.52,42.2813,0.0897,5.9831
2024-06-30,2024-06-30,3.5,3.5,43.7709,0.2083,5.9529
2024-09-30,2024-09-30,5.44,5.52,46.8592,0.3303,6.077
2024-12-31,2024-12-31,5.23,5.27,44.1589,0.3134,6.0041
2025-03-31,2025-03-31,1.22,1.22,42.8222,0.0744,6.081
2025-06-30,2025-06-30,2.83,2.85,46.9347,0.1733,6.1305
2025-09-30,2025-09-30,4.62,4.7,49.6252,0.2878,6.2304
