stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,3.72,3.02,26.4307,0.1796,4.2916
2021-06-30,2021-06-30,5.97,4.91,27.0177,0.302,4.4095
2021-09-30,2021-09-30,5.98,4.92,28.2124,0.3097,4.4802
2021-12-31,2021-12-31,7.07,8.3,33.011,0.4638,5.017
2022-03-31,2022-03-31,4.4,4.45,69.2203,0.2453,5.1935
2022-06-30,2022-06-30,6.61,6.66,58.3456,0.3764,5.3803
2022-09-30,2022-09-30,8.49,8.71,50.4835,0.5041,5.5832
2022-12-31,2022-12-31,13.23,14.12,53.1421,0.8701,5.948
2023-03-31,2023-03-31,4.9,5.02,67.8163,0.3262,6.1947
2023-06-30,2023-06-30,7.84,8.16,61.6485,0.5397,6.4179
2023-09-30,2023-09-30,9.5,9.99,56.4369,0.6628,6.5429
2023-12-31,2023-12-31,10.79,13.83,56.2132,0.875,6.812
2024-03-31,2024-03-31,5.33,5.47,69.5923,0.3373,7.1527
2024-06-30,2024-06-30,6.04,8.15,57.8879,0.3833,6.9652
2024-09-30,2024-09-30,6.18,7.35,52.7235,0.3498,6.7736
2024-12-31,2024-12-31,7.07,8.13,48.8442,0.393,6.8421
2025-03-31,2025-03-31,2.25,2.28,50.5568,0.1465,6.9907
2025-06-30,2025-06-30,2.89,2.93,45.3706,0.1746,7.0058
2025-09-30,2025-09-30,3.37,3.33,41.5054,0.2378,6.8746
