stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,3.98,3.98,10.2592,0.159,4.0727
2021-06-30,2021-06-30,9.25,9.29,11.6634,0.3677,4.0592
2021-09-30,2021-09-30,13.53,14.1,11.5118,0.5652,4.2871
2021-12-31,2021-12-31,15.5,16.49,11.2653,0.6649,4.4074
2022-03-31,2022-03-31,2.63,2.67,11.3729,0.1144,4.5554
2022-06-30,2022-06-30,5.75,5.38,11.4148,0.2548,4.9197
2022-09-30,2022-09-30,7.99,7.2752,11.6147,0.3544,4.9945
2022-12-31,2022-12-31,8.29,7.94,10.2682,0.3768,4.9859
2023-03-31,2023-03-31,1.43,1.43,8.9699,0.07,5.0386
2023-06-30,2023-06-30,3.89,3.69,10.1107,0.1783,4.9012
2023-09-30,2023-09-30,6.4,5.4,10.1757,0.2952,5.0005
2023-12-31,2023-12-31,8.01,8.12,10.1116,0.3641,4.5958
2024-03-31,2024-03-31,2.08,2.08,9.852,0.09,4.6133
2024-06-30,2024-06-30,4.82,4.73,10.686,0.1999,4.4437
2024-09-30,2024-09-30,6.81,6.71,11.421,0.2866,4.4637
2024-12-31,2024-12-31,8.69,8.59,11.4222,0.3556,4.5077
2025-03-31,2025-03-31,2.17,2.2,11.2745,0.0915,4.5996
2025-06-30,2025-06-30,5.43,5.15,12.5785,0.2276,4.642
2025-09-30,2025-09-30,8.07,8.12,13.1929,0.3388,4.6396
