stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,2.95,2.95,24.1201,0.1466,5.0851
2021-06-30,2021-06-30,8.03,7.77,24.7364,0.3879,4.9458
2021-09-30,2021-09-30,12.47,12.64,25.2989,0.6328,5.1905
2021-12-31,2021-12-31,15.58,16.33,24.4577,0.8208,5.384
2022-03-31,2022-03-31,3.67,3.74,23.0001,0.1986,5.5826
2022-06-30,2022-06-30,9.7,9.57,23.8568,0.5186,5.5071
2022-09-30,2022-09-30,15.12,16.33,24.1838,0.9013,6.1068
2022-12-31,2022-12-31,20.71,23.04,24.791,1.328,6.5791
2023-03-31,2023-03-31,3.6,3.67,23.1566,0.2399,6.8347
2023-06-30,2023-06-30,10.93,11.05,22.4588,0.73,6.8876
2023-09-30,2023-09-30,16.0,16.92,24.2781,1.1338,7.2823
2023-12-31,2023-12-31,20.55,22.27,25.6074,1.5266,7.626
2024-03-31,2024-03-31,4.46,4.51,26.3445,0.3538,7.7523
2024-06-30,2024-06-30,8.95,8.82,24.3756,0.6806,7.5949
2024-09-30,2024-09-30,13.78,14.19,26.3911,1.0986,8.0011
2024-12-31,2024-12-31,18.91,19.85,27.1723,1.5557,8.3064
2025-03-31,2025-03-31,4.78,4.87,27.4093,0.4076,8.5813
2025-06-30,2025-06-30,10.68,10.48,26.6233,0.8571,8.1821
2025-09-30,2025-09-30,15.47,15.95,24.7526,1.3077,8.6052
