stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,2.63,2.67,21.8622,0.1676,6.309
2021-06-30,2021-06-30,8.33,8.7,23.8999,0.5156,6.3872
2021-09-30,2021-09-30,13.41,13.12,22.8985,0.777,5.9949
2021-12-31,2021-12-31,16.15,16.27,22.1031,0.9402,5.9279
2022-03-31,2022-03-31,1.69,2.26,17.9026,0.1128,7.3449
2022-06-30,2022-06-30,3.88,4.71,17.0219,0.2391,7.3042
2022-09-30,2022-09-30,6.44,7.44,16.7924,0.4175,7.5945
2022-12-31,2022-12-31,6.58,7.39,14.4972,0.4039,7.5057
2023-03-31,2023-03-31,3.08,3.11,16.1145,0.2027,7.5615
2023-06-30,2023-06-30,7.47,7.54,17.1536,0.4945,7.6248
2023-09-30,2023-09-30,8.62,8.75,16.8794,0.595,7.9485
2023-12-31,2023-12-31,8.28,8.54,21.0157,0.5929,7.9255
2024-03-31,2024-03-31,1.61,1.45,22.0636,0.1283,8.1996
2024-06-30,2024-06-30,3.53,3.5,24.5774,0.2997,8.4297
2024-09-30,2024-09-30,5.16,5.14,25.2416,0.4342,8.5654
2024-12-31,2024-12-31,4.17,4.17,26.7603,0.3586,8.294
2025-03-31,2025-03-31,2.11,2.14,22.5184,0.1845,8.4858
2025-06-30,2025-06-30,4.29,4.34,26.0242,0.3754,8.5383
2025-09-30,2025-09-30,6.18,6.33,26.7542,0.55,8.7371
