stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,12.09,12.81,26.241,,
2021-06-30,2021-06-30,17.16,26.7,25.3297,1.0992,5.994
2021-09-30,2021-09-30,24.82,34.88,26.6616,1.7589,6.6538
2021-12-31,2021-12-31,33.03,45.53,27.5744,2.6535,7.4619
2022-03-31,2022-03-31,11.12,11.78,32.8005,1.0049,8.467
2022-06-30,2022-06-30,17.69,17.91,30.7404,1.5799,8.3506
2022-09-30,2022-09-30,22.95,24.6,29.5536,2.1778,8.9486
2022-12-31,2022-12-31,26.89,29.91,27.3814,2.703,9.2501
2023-03-31,2023-03-31,5.33,5.47,25.4757,0.5612,9.8115
2023-06-30,2023-06-30,8.93,9.04,23.9008,0.9259,9.8222
2023-09-30,2023-09-30,11.38,11.8,20.8826,1.1995,10.096
2023-12-31,2023-12-31,16.1,17.23,21.3265,1.797,10.6954
2024-03-31,2024-03-31,3.67,3.74,15.6809,0.4199,11.1155
2024-06-30,2024-06-30,7.64,7.94,18.5389,0.9148,11.6045
2024-09-30,2024-09-30,11.8,12.54,18.9665,1.4824,12.1721
2024-12-31,2024-12-31,15.35,16.1,19.2182,1.93,12.2109
2025-03-31,2025-03-31,3.02,3.07,17.2793,0.3885,12.5995
2025-06-30,2025-06-30,7.03,7.1,18.5688,0.9231,12.8418
2025-09-30,2025-09-30,10.5,10.9,19.5623,1.4328,13.3514
