stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,4.25,4.34,13.3218,0.1341,3.1176
2021-06-30,2021-06-30,9.94,11.04,13.0296,0.3384,3.3584
2021-09-30,2021-09-30,16.06,17.99,13.349,0.552,3.5033
2021-12-31,2021-12-31,22.06,23.97,13.9011,0.7444,3.5282
2022-03-31,2022-03-31,7.8,8.19,15.8395,0.2816,3.8541
2022-06-30,2022-06-30,16.3,16.62,15.568,0.5861,4.218
2022-09-30,2022-09-30,19.76,21.37,14.0921,0.7857,4.5425
2022-12-31,2022-12-31,22.58,25.29,14.1594,0.9407,4.7269
2023-03-31,2023-03-31,5.68,5.89,14.0334,0.2612,4.9696
2023-06-30,2023-06-30,10.41,10.76,13.1671,0.4875,5.093
2023-09-30,2023-09-30,15.66,16.76,13.6156,0.7624,5.1487
2023-12-31,2023-12-31,19.64,21.43,14.1543,1.0081,5.2556
2024-03-31,2024-03-31,5.37,5.58,14.9618,0.2905,5.6382
2024-06-30,2024-06-30,11.93,12.98,17.3513,0.6952,6.016
2024-09-30,2024-09-30,18.16,20.22,17.7112,1.1167,6.3465
2024-12-31,2024-12-31,22.93,25.89,18.4577,1.4822,6.6872
2025-03-31,2025-03-31,6.97,7.12,20.6385,0.469,6.9869
2025-06-30,2025-06-30,16.39,16.11,21.6196,1.0778,7.2197
2025-09-30,2025-09-30,22.36,25.45,22.5737,1.7195,8.5398
