stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-06-30,2021-06-30,1.0,1.12,47.528,,
2021-12-31,2021-12-31,-0.9,-0.94,46.8061,-0.0096,1.0688
2022-03-31,2022-03-31,3.91,,100.0,0.0436,1.117
2022-06-30,2022-06-30,,2.98,43.4397,0.0326,
2022-09-30,2022-09-30,,,42.0386,-0.0023,
2022-12-31,2022-12-31,-8.12,-7.8,42.8458,-0.0817,1.0068
2023-03-31,2023-03-31,4.11,,100.0,0.0435,1.059
2023-06-30,2023-06-30,8.77,9.18,31.1109,0.0985,1.1226
2023-09-30,2023-09-30,1.79,10.94,33.9305,0.1061,5.9106
2023-12-31,2023-12-31,-0.82,-2.23,35.9285,-0.0476,5.7781
2024-03-31,2024-03-31,-0.26,-0.26,37.7534,-0.0148,5.783
2024-06-30,2024-06-30,-2.44,-2.41,37.2836,-0.1387,5.6792
2024-09-30,2024-09-30,-3.29,-3.23,38.7694,-0.1858,5.6525
2024-12-31,2024-12-31,-2.93,-2.88,39.9252,-0.1665,5.6909
2025-03-31,2025-03-31,-0.65,-0.65,43.8387,-0.0371,5.6791
2025-06-30,2025-06-30,-1.02,-1.01,46.3381,-0.0578,5.6859
2025-09-30,2025-09-30,0.39,0.4,48.4996,0.0229,5.7943
