stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,4.13,4.39,18.3208,0.2664,6.6183
2021-06-30,2021-06-30,9.6,9.67,18.3638,0.6298,6.5192
2021-09-30,2021-09-30,13.46,14.0,17.9596,0.9186,6.8064
2021-12-31,2021-12-31,16.22,17.22,15.1974,1.1439,6.9572
2022-03-31,2022-03-31,3.28,3.34,14.9571,0.2284,7.1502
2022-06-30,2022-06-30,7.99,7.9,15.8184,0.5678,7.1156
2022-09-30,2022-09-30,12.36,12.85,15.9414,0.9211,7.5036
2022-12-31,2022-12-31,15.73,16.7,17.3755,1.2393,7.8605
2023-03-31,2023-03-31,3.88,4.2,17.839,0.322,8.6026
2023-06-30,2023-06-30,10.19,11.21,18.6975,0.8852,8.7935
2023-09-30,2023-09-30,15.91,18.19,19.7871,1.4727,9.3966
2023-12-31,2023-12-31,19.96,22.23,20.3932,1.9609,9.888
2024-03-31,2024-03-31,4.22,4.31,20.1916,0.4298,10.2666
2024-06-30,2024-06-30,11.06,11.38,21.032,0.8183,7.4226
2024-09-30,2024-09-30,16.2,17.47,22.2311,1.2554,7.92
2024-12-31,2024-12-31,19.89,21.64,23.1054,1.6498,8.3108
2025-03-31,2025-03-31,4.12,4.2,19.9878,0.3449,8.629
2025-06-30,2025-06-30,10.34,10.47,21.4162,0.8937,8.8261
2025-09-30,2025-09-30,15.39,16.24,22.8816,1.3905,9.2165
