stat_date,pub_date,roe,roe_weighted,gp_margin,eps_ttm,bps
2021-03-31,2021-03-31,0.32,0.32,25.9755,0.0617,9.9283
2021-06-30,2021-06-30,4.58,4.45,25.1751,0.3515,7.2257
2021-09-30,2021-09-30,2.64,2.59,25.6561,0.2279,7.0284
2021-12-31,2021-12-31,-21.46,-18.71,25.5352,-1.0529,5.7462
2022-03-31,2022-03-31,-2.03,-2.01,25.6134,-0.1059,5.6403
2022-06-30,2022-06-30,4.71,4.82,27.1481,0.2443,5.9875
2022-09-30,2022-09-30,13.4,14.37,28.3067,0.7807,6.5304
2022-12-31,2022-12-31,14.5,15.64,28.2165,0.8236,6.5698
2023-03-31,2023-03-31,1.15,1.16,28.8385,0.0765,6.6463
2023-06-30,2023-06-30,12.02,12.79,30.372,0.5997,5.2924
2023-09-30,2023-09-30,19.28,21.74,30.6539,1.057,5.8446
2023-12-31,2023-12-31,7.1,7.36,30.6597,0.3366,5.1296
2024-03-31,2024-03-31,1.89,1.91,27.6112,0.0897,5.2194
2024-06-30,2024-06-30,8.17,8.28,28.0442,0.3946,5.3642
2024-09-30,2024-09-30,14.8,15.7,27.9325,0.7705,5.8357
2024-12-31,2024-12-31,12.36,12.97,28.7962,0.5946,5.6379
2025-03-31,2025-03-31,3.79,3.84,30.2903,0.2006,5.838
2025-06-30,2025-06-30,14.82,15.15,31.7463,0.5899,4.3915
2025-09-30,2025-09-30,22.89,24.92,32.0454,0.9913,4.6583
